"","page","searchenginekeyword","pageviews","segment.id","segment.name"
"398","Areas with Zika | Zika virus | CDC","where is the zika virus located",2,"",""
"399","Areas with Zika | Zika virus | CDC","zika in thailand map",2,"",""
"400","Areas with Zika | Zika virus | CDC","zika africa map 2016",2,"",""
"401","Areas with Zika | Zika virus | CDC","whats states have been hit by zika",2,"",""
"402","Areas with Zika | Zika virus | CDC","zika information",2,"",""
"403","Areas with Zika | Zika virus | CDC","zika  2017",2,"",""
"404","Areas with Zika | Zika virus | CDC","oseltamivir for zika virus",2,"",""
"405","Areas with Zika | Zika virus | CDC","dph zika enemic areas",2,"",""
"406","Areas with Zika | Zika virus | CDC","countries & territories with active",2,"",""
"407","Areas with Zika | Zika virus | CDC","where has zika been reported",2,"",""
"408","Areas with Zika | Zika virus | CDC","is the zik virus in the us?",2,"",""
"409","Areas with Zika | Zika virus | CDC","zika usa map",2,"",""
"410","Areas with Zika | Zika virus | CDC","map of where zika is",2,"",""
"411","Areas with Zika | Zika virus | CDC","zeika",2,"",""
"412","Areas with Zika | Zika virus | CDC","public health map of zika",2,"",""
"413","Areas with Zika | Zika virus | CDC","what animal was zika first noticed in",2,"",""
"414","Areas with Zika | Zika virus | CDC","zika in cuba",2,"",""
"415","Areas with Zika | Zika virus | CDC","is zika been proved to be bad for humans",2,"",""
"416","Areas with Zika | Zika virus | CDC","ziki virus location",2,"",""
"417","Areas with Zika | Zika virus | CDC","cdc zika a void pregnancy",2,"",""
"418","Areas with Zika | Zika virus | CDC","cdc zika bali",2,"",""
"419","Areas with Zika | Zika virus | CDC","south america no zika",2,"",""
"420","Areas with Zika | Zika virus | CDC","who zika cases",2,"",""
"421","Areas with Zika | Zika virus | CDC","zika virus countries to avoid 2017",2,"",""
"422","Areas with Zika | Zika virus | CDC","zika puerto rico update 2017",2,"",""
"423","Areas with Zika | Zika virus | CDC","zika and pregnancy",2,"",""
"424","Areas with Zika | Zika virus | CDC","zika virus locations in us",2,"",""
"425","Areas with Zika | Zika virus | CDC","cdc zika geo index html",2,"",""
"426","Areas with Zika | Zika virus | CDC","zika virus diagnosis",2,"",""
"427","Areas with Zika | Zika virus | CDC","cdc zik",2,"",""
"428","Areas with Zika | Zika virus | CDC","zika in us",2,"",""
"429","Areas with Zika | Zika virus | CDC","updated zika map",2,"",""
"430","Areas with Zika | Zika virus | CDC","who zika",2,"",""
"431","Areas with Zika | Zika virus | CDC","zika virus malaysia",2,"",""
"432","Areas with Zika | Zika virus | CDC","cdc and zika virus map",2,"",""
"433","Areas with Zika | Zika virus | CDC","zica virus person place and time",2,"",""
"434","Areas with Zika | Zika virus | CDC","neuquen argentina zika virus",2,"",""
"435","Areas with Zika | Zika virus | CDC","zika virus march 2017",2,"",""
"436","Areas with Zika | Zika virus | CDC","cdc zika warning new orleans?",2,"",""
"437","Areas with Zika | Zika virus | CDC","zika risk areas",2,"",""
"438","Areas with Zika | Zika virus | CDC","z virus",2,"",""
"439","Areas with Zika | Zika virus | CDC","cdc recommendations for zika",2,"",""
"440","Areas with Zika | Zika virus | CDC","zinka virus",2,"",""
"441","Areas with Zika | Zika virus | CDC","zika impacted countries",2,"",""
"442","Areas with Zika | Zika virus | CDC","how many cases of zika virus",2,"",""
"443","Areas with Zika | Zika virus | CDC","zika outbreaks in florida",2,"",""
"444","Areas with Zika | Zika virus | CDC","zika viru",2,"",""
"445","Areas with Zika | Zika virus | CDC","cdc florida zika",2,"",""
"446","Areas with Zika | Zika virus | CDC","kenya zika",2,"",""
"447","Areas with Zika | Zika virus | CDC","incidence of zika by country",2,"",""
"448","Areas with Zika | Zika virus | CDC","malaria distribution",2,"",""
"449","Areas with Zika | Zika virus | CDC","mexico zika virus map",2,"",""
"450","Areas with Zika | Zika virus | CDC","cdc   zika",2,"",""
"451","Areas with Zika | Zika virus | CDC","where is zeika",2,"",""
"452","Areas with Zika | Zika virus | CDC","azeka virus",2,"",""
"453","Areas with Zika | Zika virus | CDC","zika virus mexico map",2,"",""
"454","Areas with Zika | Zika virus | CDC","regions of mexico affected by zika",2,"",""
"455","Areas with Zika | Zika virus | CDC","where is the zica virus?",2,"",""
"456","Areas with Zika | Zika virus | CDC","zika affected areas to avod",2,"",""
"457","Areas with Zika | Zika virus | CDC","cdc zica virus",2,"",""
"458","Areas with Zika | Zika virus | CDC","updated zika map of us",2,"",""
"459","Areas with Zika | Zika virus | CDC","zika virus california map",2,"",""
"460","Areas with Zika | Zika virus | CDC","zika by country",2,"",""
"461","Areas with Zika | Zika virus | CDC","bermuda zika virus",2,"",""
"462","Areas with Zika | Zika virus | CDC","cdc's website",2,"",""
"463","Areas with Zika | Zika virus | CDC","ziki virus locations world",2,"",""
"464","Areas with Zika | Zika virus | CDC","zeeka virus",2,"",""
"465","Areas with Zika | Zika virus | CDC","countries & territories with active local",2,"",""
"466","Areas with Zika | Zika virus | CDC","what countries does not have the zika virus",2,"",""
"467","Areas with Zika | Zika virus | CDC","cdd zika",2,"",""
"468","Areas with Zika | Zika virus | CDC","zika virus kenya",2,"",""
"469","Areas with Zika | Zika virus | CDC","recent zika map",2,"",""
"470","Areas with Zika | Zika virus | CDC","zikka map",2,"",""
"471","Areas with Zika | Zika virus | CDC","www.cdc.org/",2,"",""
"472","Areas with Zika | Zika virus | CDC","mexico and zika",2,"",""
"473","Areas with Zika | Zika virus | CDC","are countries still affected by zika",2,"",""
"474","Areas with Zika | Zika virus | CDC","is zika still a problem",2,"",""
"475","Areas with Zika | Zika virus | CDC","cdc statics zika",2,"",""
"476","Areas with Zika | Zika virus | CDC","zika in goa",2,"",""
"477","Areas with Zika | Zika virus | CDC","areas to avoid in the us for zika virus",2,"",""
"478","Areas with Zika | Zika virus | CDC","top zika locations",2,"",""
"479","Areas with Zika | Zika virus | CDC","cdc confirmed cases of zika in carrabbean",2,"",""
"480","Areas with Zika | Zika virus | CDC","where is the zika virus now",2,"",""
"481","Areas with Zika | Zika virus | CDC","zika transmission to nursing child",2,"",""
"482","Areas with Zika | Zika virus | CDC","zeka virus problem areas",2,"",""
"483","Areas with Zika | Zika virus | CDC","zika cdv",2,"",""
"484","Areas with Zika | Zika virus | CDC","risk of zika in florida",2,"",""
"485","Areas with Zika | Zika virus | CDC","is zika in the carribean?",2,"",""
"486","Areas with Zika | Zika virus | CDC","countries",2,"",""
"487","Areas with Zika | Zika virus | CDC","where is the zeke virus at map",2,"",""
"488","Areas with Zika | Zika virus | CDC","zika map hawaii",2,"",""
"489","Areas with Zika | Zika virus | CDC","which country has zika virus",2,"",""
"490","Areas with Zika | Zika virus | CDC","cabo zika",2,"",""
"491","Areas with Zika | Zika virus | CDC","kenya zika risk",2,"",""
"492","Areas with Zika | Zika virus | CDC","south america zika virus map",2,"",""
"493","Areas with Zika | Zika virus | CDC","www.cdc",2,"",""
"494","Areas with Zika | Zika virus | CDC","cdc zika virus map caribbean",2,"",""
"495","Areas with Zika | Zika virus | CDC","west coast florida zika",2,"",""
"496","Areas with Zika | Zika virus | CDC","cdc world zika map",2,"",""
"497","Areas with Zika | Zika virus | CDC","zika virus currently outbreaks in which continent",2,"",""
"498","Areas with Zika | Zika virus | CDC","dcd",2,"",""
"499","Areas with Zika | Zika virus | CDC","zika virus areas to avoid in us",2,"",""
"500","Areas with Zika | Zika virus | CDC","risk of zika in ethiopia",2,"",""
"501","Areas with Zika | Zika virus | CDC","zika virus india cdc",2,"",""
"502","Areas with Zika | Zika virus | CDC","zika travel warning",2,"",""
"503","Areas with Zika | Zika virus | CDC","is the zika virus in forlauderdal",2,"",""
"504","Areas with Zika | Zika virus | CDC","where in the world is the zika virus",2,"",""
"505","Areas with Zika | Zika virus | CDC","zika in bahamas cdc",2,"",""
"506","Areas with Zika | Zika virus | CDC","cdc.gov zika map",2,"",""
"507","Areas with Zika | Zika virus | CDC","n iy vjes sex",2,"",""
"508","Areas with Zika | Zika virus | CDC","zika risk area",2,"",""
"509","Areas with Zika | Zika virus | CDC","zica cabo map",2,"",""
"510","Areas with Zika | Zika virus | CDC","is georgia a zikia area to worry about",2,"",""
"511","Areas with Zika | Zika virus | CDC","zeka virus symptoms",2,"",""
"512","Areas with Zika | Zika virus | CDC","zika protocols for protection",2,"",""
"513","Areas with Zika | Zika virus | CDC","zika virus caribbean islands",2,"",""
"514","Areas with Zika | Zika virus | CDC","zika travel warning florida",2,"",""
"515","Areas with Zika | Zika virus | CDC","zika united states",2,"",""
"516","Areas with Zika | Zika virus | CDC","zika in the bahamas",2,"",""
"517","Areas with Zika | Zika virus | CDC","zika pregnancy who should be tested",2,"",""
"518","Areas with Zika | Zika virus | CDC","areas where zika is spreading",2,"",""
"519","Areas with Zika | Zika virus | CDC","current zika virus map",2,"",""
"520","Areas with Zika | Zika virus | CDC","who list of zika affected countries",2,"",""
"521","Areas with Zika | Zika virus | CDC","cdc travel zika",2,"",""
"522","Areas with Zika | Zika virus | CDC","zika.cdc",2,"",""
"523","Areas with Zika | Zika virus | CDC","http://www.cdc.gov/zika/index.html",2,"",""
"524","Areas with Zika | Zika virus | CDC","reported zika cases in florida in 2016",2,"",""
"525","Areas with Zika | Zika virus | CDC","in which country do we find zika dieseas",2,"",""
"526","Areas with Zika | Zika virus | CDC","how many babies so far have been born deformed due to zika virus",2,"",""
"527","Areas with Zika | Zika virus | CDC","countries & territories with active local zika virus transmissi",2,"",""
"528","Areas with Zika | Zika virus | CDC","zika virus affected regions",2,"",""
"529","Areas with Zika | Zika virus | CDC","zika risk in egypt",2,"",""
"530","Areas with Zika | Zika virus | CDC","cdc.gov/travel",2,"",""
"531","Areas with Zika | Zika virus | CDC","list of places with zika",2,"",""
"532","Areas with Zika | Zika virus | CDC","zika location",2,"",""
"533","Areas with Zika | Zika virus | CDC","how many cases of zika in the us",2,"",""
"534","Areas with Zika | Zika virus | CDC","https://www.cdc.gov/zika/geo/index.html",2,"",""
"535","Areas with Zika | Zika virus | CDC","caribbean zika map",2,"",""
"536","Areas with Zika | Zika virus | CDC","zika virus high risk countries",2,"",""
"537","Areas with Zika | Zika virus | CDC","zika india cdc",2,"",""
"538","Areas with Zika | Zika virus | CDC","cdc orlando zika",2,"",""
"539","Areas with Zika | Zika virus | CDC","zika danger 2017",2,"",""
"540","Areas with Zika | Zika virus | CDC","facts & figures over het zika-virus",2,"",""
"541","Areas with Zika | Zika virus | CDC","which countries is the seacka virus",2,"",""
"542","Areas with Zika | Zika virus | CDC","where is zika in usa",2,"",""
"543","Areas with Zika | Zika virus | CDC","cdc zihka map",2,"",""
"544","Areas with Zika | Zika virus | CDC","state cdc",2,"",""
"545","Areas with Zika | Zika virus | CDC","how many people were infected withthe zika virus in aruba",2,"",""
"546","Areas with Zika | Zika virus | CDC","zika in flordia",2,"",""
"547","Areas with Zika | Zika virus | CDC","zeka virus aresa",2,"",""
"548","Areas with Zika | Zika virus | CDC","zika prevention",2,"",""
"549","Areas with Zika | Zika virus | CDC","zika bali cdc",2,"",""
"550","Areas with Zika | Zika virus | CDC","where is zika?",2,"",""
"551","Areas with Zika | Zika virus | CDC","zika virus caribean",2,"",""
"552","Areas with Zika | Zika virus | CDC","zika travel warnings",2,"",""
"553","Areas with Zika | Zika virus | CDC","cdc zika geo active countries",2,"",""
"554","Areas with Zika | Zika virus | CDC","cdc zika world map",2,"",""
"555","Areas with Zika | Zika virus | CDC","mexico zika report",2,"",""
"556","Areas with Zika | Zika virus | CDC","zika infection data united states",2,"",""
"557","Areas with Zika | Zika virus | CDC","where is zika in the caribbean",2,"",""
"558","Areas with Zika | Zika virus | CDC","zika virus names",2,"",""
"559","Areas with Zika | Zika virus | CDC","countries infected by zika",2,"",""
"560","Areas with Zika | Zika virus | CDC","zika map current",2,"",""
"561","Areas with Zika | Zika virus | CDC","is south africa zika free",2,"",""
"562","Areas with Zika | Zika virus | CDC","zika in algadonas mexico",2,"",""
"563","Areas with Zika | Zika virus | CDC","is burmuda in the zeka zone",2,"",""
"564","Areas with Zika | Zika virus | CDC","zika 2016",2,"",""
"565","Areas with Zika | Zika virus | CDC","zika virus egypt",2,"",""
"566","Areas with Zika | Zika virus | CDC","zica cdc",2,"",""
"567","Areas with Zika | Zika virus | CDC","2017 zika virus",2,"",""
"568","Areas with Zika | Zika virus | CDC","senegal zika",2,"",""
"569","Areas with Zika | Zika virus | CDC","bahamas zika map",2,"",""
"570","Areas with Zika | Zika virus | CDC","www.cdc.gov zika",2,"",""
"571","Areas with Zika | Zika virus | CDC","what locations on st croix have had the zika virus",2,"",""
"572","Areas with Zika | Zika virus | CDC","zika map caribbean",2,"",""
"573","Areas with Zika | Zika virus | CDC","south carribean zika virus",2,"",""
"574","Areas with Zika | Zika virus | CDC","zika virus gambia",2,"",""
"575","Areas with Zika | Zika virus | CDC","zika viruses",2,"",""
"576","Areas with Zika | Zika virus | CDC","list of zika affected countries",2,"",""
"577","Areas with Zika | Zika virus | CDC","how many people have zika",2,"",""
"578","Areas with Zika | Zika virus | CDC","area zika",2,"",""
"579","Areas with Zika | Zika virus | CDC","zika zones mexico",2,"",""
"580","Areas with Zika | Zika virus | CDC","cdc disease",2,"",""
"581","Areas with Zika | Zika virus | CDC","zika list cdc",2,"",""
"582","Areas with Zika | Zika virus | CDC","zika list",2,"",""
"583","Areas with Zika | Zika virus | CDC","zika outbreak usa",2,"",""
"584","Areas with Zika | Zika virus | CDC","areas of zika virus",2,"",""
"585","Areas with Zika | Zika virus | CDC","zika virus which countries to avoid",2,"",""
"586","Areas with Zika | Zika virus | CDC","zica cases in florida",2,"",""
"587","Areas with Zika | Zika virus | CDC","countries affected by the zika virus",2,"",""
"588","Areas with Zika | Zika virus | CDC","places affected by zika",2,"",""
"589","Areas with Zika | Zika virus | CDC","countries without zika",2,"",""
"590","Areas with Zika | Zika virus | CDC","zika virus las vegas cdc",2,"",""
"591","Areas with Zika | Zika virus | CDC","zika virus map usa",2,"",""
"592","Areas with Zika | Zika virus | CDC","zika virus avoidance areas",2,"",""
"593","Areas with Zika | Zika virus | CDC","most common countrie where the zika virus is",2,"",""
"594","Areas with Zika | Zika virus | CDC","is cabo hit with zeke",2,"",""
"595","Areas with Zika | Zika virus | CDC","zika prone countries",2,"",""
"596","Areas with Zika | Zika virus | CDC","tanzania zika virus",2,"",""
"597","Areas with Zika | Zika virus | CDC","parts of mexico.most affected by zika",2,"",""
"598","Areas with Zika | Zika virus | CDC","zika virus stats",2,"",""
"599","Areas with Zika | Zika virus | CDC","zika virus geographic shift to u. s.",2,"",""
"600","Areas with Zika | Zika virus | CDC","cdc list on zika",2,"",""
"601","Areas with Zika | Zika virus | CDC","us centers for disease control and prevention",2,"",""
"602","Areas with Zika | Zika virus | CDC","zika virus cdc map",2,"",""
"603","Areas with Zika | Zika virus | CDC","zika in hawaii",2,"",""
"604","Areas with Zika | Zika virus | CDC","countries that are safe from the zika virus",2,"",""
"605","Areas with Zika | Zika virus | CDC","www.",2,"",""
"606","Areas with Zika | Zika virus | CDC","zika virus by city",2,"",""
